"CLIM_ID","",""
"! The naming convention for CLIM_ID indicates the climate models/data used to generate the scenario, the type of downscaling approach applied, and the type of scenario represented. Each ID is made up of 4-characters which are defined below."
"! Additional values may also be introduced according to the participation/inclusion of new methods for scenario generation and requested scenarios."
"! First character indicates time period and emissions scenario (additional values will be generated to indicate CMIP5 RCP simulations)"
"Code_display_char","Value","Definition"
"CLIM_ID_1","0","1980-2009 baseline"
"CLIM_ID_1","1","A2 2010-2039 (Near-term)"
"CLIM_ID_1","2","B1 2010-2039 (Near-term)"
"CLIM_ID_1","3","A2 2040-2069 (Mid-Century)"
"CLIM_ID_1","4","B1 2040-2069 (Mid-Century)"
"CLIM_ID_1","5","A2 2070-2099 (End-of-Century)"
"CLIM_ID_1","6","B1 2070-2099 (End-of-Century)"
"CLIM_ID_1","S","Sensitivity Scenario"
"CLIM_ID_1","A","observational time period (determined in file)"
"CLIM_ID_1","B","RCP3PD 2010-2039 (Near-term)"
"CLIM_ID_1","C","RCP45 2010-2039 (Near-term)"
"CLIM_ID_1","D","RCP60 2010-2039 (Near-term)"
"CLIM_ID_1","E","RCP85 2010-2039 (Near-term)"
"CLIM_ID_1","F","RCP3PD 2040-2069 (Mid-Century)"
"CLIM_ID_1","G","RCP45 2040-2069 (Mid-Century)"
"CLIM_ID_1","H","RCP60 2040-2069 (Mid-Century)"
"CLIM_ID_1","I","RCP85 2040-2069 (Mid-Century)"
"CLIM_ID_1","J","RCP3PD 2070-2099 (End-of-Century)"
"CLIM_ID_1","K","RCP45 2070-2099 (End-of-Century)"
"CLIM_ID_1","L","RCP60 2070-2099 (End-of-Century)"
"CLIM_ID_1","M","RCP85 2070-2099 (End-of-Century)"
"","",""
"! Second character is GCM/data source for baseline data (if baseline scenario, CLIM_ID_1=0)"
"Code_display_char","Value","Definition"
"CLIM_ID_2","X","no GCM used"
"CLIM_ID_2","0","imposed values (sensitivity tests)"
"CLIM_ID_2","Q","Bias-corrected MERRA"
"CLIM_ID_2","T","NASA POWER"
"CLIM_ID_2","U","NARR"
"CLIM_ID_2","V","ERA-INTERIM"
"CLIM_ID_2","W","MERRA"
"CLIM_ID_2","Y","NCEP CFSR"
"CLIM_ID_2","Z","NCEP/DoE Reanalysis-2"
"","",""
"! Second character is GCM/data source (if CMIP3 data, CLIM_ID_1=1-6):"
"Code_display_char","Value","Definition"
"CLIM_ID_2","A","bccr"
"CLIM_ID_2","B","cccma cgcm3"
"CLIM_ID_2","C","cnrm"
"CLIM_ID_2","D","csiro"
"CLIM_ID_2","E","gfdl 2.0"
"CLIM_ID_2","F","gfdl 2.1"
"CLIM_ID_2","G","giss er"
"CLIM_ID_2","H","inmcm 3.0"
"CLIM_ID_2","I","ipsl cm4"
"CLIM_ID_2","J","miroc3 2 medres"
"CLIM_ID_2","K","miub echo g"
"CLIM_ID_2","L","mpi echam5 M = mri cgcm2"
"CLIM_ID_2","N","ncar ccsm3"
"CLIM_ID_2","O","ncar pcm1"
"CLIM_ID_2","P","ukmo hadcm3"
"CLIM_ID_2","W","MERRA"
"CLIM_ID_2","Y","NCEP CFSR"
"CLIM_ID_2","Z","NCEP/DoE Reanalysis-2"
"","",""
"! Second character is GCM/data source (if CMIP5 data, CLIM_ID_1=B-M):"
"Code_display_char","Value","Definition"
"CLIM_ID_2","0","imposed values (sensitivity tests)"
"CLIM_ID_2","A","ACCESS1-0"
"CLIM_ID_2","B","bcc-csm1-1"
"CLIM_ID_2","C","BNU-ESM"
"CLIM_ID_2","D","CanESM2"
"CLIM_ID_2","E","CCSM4"
