"Variable_Name","Name_Length","Code_Display","Code length","Code_Query","Variable_Order","Variable_Key","Description","Unit_or_type","Data_type","Data_length","Dataset","Subset","Group","SubGroup","Set_group_order","Hash_calc","Version_or_questions","Display_Label","Code_synon","MinVal","MaxVal","DSSAT_var","ICASA_standard","AgMIP_data_entry","AgMIP_rating","DSSAT_rating","APSIM_rating","CYCLES","","","","","","","","","",""
"residue_moisture_init","21","ICRM","4","ICRM","8","","Moisture in initial above-ground residue ","%","single","","EXPERIMENT","MANAGEMENT","INITIAL_CONDITIONS","","2051","1","",".",".","0","","","1","","1","1","","","","","","","","","","","",""
"residue_above_ground_wt","23","ICRAG","5","ICRAG","8","","Residue above-ground weight, dry weight basis","kg/ha","single","","EXPERIMENT","MANAGEMENT","INITIAL_CONDITIONS","","2051","1","",".","RAMT TFOM","0","","","1","","1","1","","","","","","","","","","","",""
"residue_N_conc","14","ICRN","4","ICRN","9","","Residue, above-ground, nitrogen concentration","%","single","","EXPERIMENT","MANAGEMENT","INITIAL_CONDITIONS","","2051","1","",".","RESN","0","","","1","","1","1","","","","","","","","","","","",""
"residue_P_conc","14","ICRP","4","ICRP","10","","Residue, above-ground, phosphorus concentration","%","single","","EXPERIMENT","MANAGEMENT","INITIAL_CONDITIONS","","2051","1","",".","RESP","0","","","1","-1","0","","","","","","","","","","","","",""
"residue_K_conc","14","ICRK","4","ICRK","11","","Residue, above-ground, potassium concentration","%","single","","EXPERIMENT","MANAGEMENT","INITIAL_CONDITIONS","","2051","1","",".","RESK","0","","","1","-1","0","","","","","","","","","","","","",""
"residue_lignin_conc","19","ICRLI","5","ICRLI","12","","Residue, above-ground, lignin concentration","%","single","","EXPERIMENT","MANAGEMENT","INITIAL_CONDITIONS","","2051","1","",".",".","0","","","1","-1","0","","","","","","","","","","","","",""
"root_wt_previous_crop","21","ICRT","4","ICRT","13","","Root weight from previous crop","kg/ha","single","","EXPERIMENT","MANAGEMENT","INITIAL_CONDITIONS","","2051","1","",".",".","0","","","1","","0","","","","","","","","","","","","",""
"nodule_wt_previous_crop","23","ICND","4","ICND","14","","Nodule weight from previous crop","kg/ha","single","","EXPERIMENT","MANAGEMENT","INITIAL_CONDITIONS","","2051","1","",".",".","0","","","1","-1","0","","","","","","","","","","","","",""
"initial_prof_measure_yr","23","ICYR","4","ICYR","21","","Inital profile measurements year","year","single","","EXPERIMENT","MANAGEMENT","INITIAL_CONDITIONS","","2051","1","",".",".","","","","1","-1","0","","","","","","","","","","","","",""
"profile_measurement_day","23","ICDAY","5","ICDAY","22","","Day of year, inital profile measurement","doy","single","","EXPERIMENT","MANAGEMENT","INITIAL_CONDITIONS","","2051","1","",".",".","1","366","","1","-1","0","","","","","","","","","","","","",""
"initial_profile_wtr_cont_%","26","ICSW%","5","ICSWPC","23","","Initial water content of entire profile, expressed as percent of available water","%","single","","EXPERIMENT","MANAGEMENT","INITIAL_CONDITIONS","","2051","1","",".",".","0","","","1","","0","","","","","","","","","","","","",""
"initial_profile_wtr_cont","24","ICSW","4","ICSW","23","","Initial water content of entire profile","mm","single","","EXPERIMENT","MANAGEMENT","INITIAL_CONDITIONS","","2051","1","",".",".","0","","","1","","0","","","","","","","","","","","","",""
"initial_water_tabl_depth","24","ICWT","4","ICWT","24","","Initial water table depth","cm","single","","EXPERIMENT","MANAGEMENT","INITIAL_CONDITIONS","","2051","1","",".",".","0","","","1","","0","","","","","","","","","","","","",""
"initial_prof_inorg_N","20","ICIN","4","ICIN","25","","Initial profile inorganic nitrogen amount","kg[N]/ha","single","","EXPERIMENT","MANAGEMENT","INITIAL_CONDITIONS","","2051","1","",".",".","0","","","1","","0","","","","","","","","","","","","",""
"initial_prof_NH4","16","ICPNH4","6","ICPNH4","25","","Initial profile soil ammonium","kg[N]/ha","single","","EXPERIMENT","MANAGEMENT","INITIAL_CONDITIONS","","2051","1","CHP 2/8/2013",".",".","0","","","1","","0","","","","","","","","","","","","",""
"initial_prof_NO3","16","ICPNO3","6","ICPNO3","25","","Initial profile soil nitrate","kg[N]/ha","single","","EXPERIMENT","MANAGEMENT","INITIAL_CONDITIONS","","2051","1","CHP 2/8/2013",".",".","0","","","1","","0","","","","","","","","","","","","",""
"rhizobia_number","15","ICRZ#","5","ICRZC","26","","Rhizobia number (count)","counts/cm3","single","","EXPERIMENT","MANAGEMENT","INITIAL_CONDITIONS","","2051","1","",".","","0","","","1","-1","0","","","","","","","","","","","","",""
"rhizobia_effectiveness","22","ICRZE","5","ICRZE","27","","Rhizobia effectiveness on 0-1 scale","number","single","","EXPERIMENT","MANAGEMENT","INITIAL_CONDITIONS","","2051","1","",".","ICRE","","","","1","-1","0","","","","","","","","","","","","",""
"rhizobia_nitrogen_amount","24","ICRZN","5","ICRZN","28","","Rhizobia nitrogen amount","kg/ha","single","","EXPERIMENT","MANAGEMENT","INITIAL_CONDITIONS","","2051","1","",".","","0","","","1","-1","0","","","","","","","","","","","","",""
"id","","id","","id","0","1","id","","single","","EXPERIMENT","MANAGEMENT","INITIAL_CONDITIONS","INITIAL_CONDITION_LAYER","2052","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"initial_conditions_level","24","IC","2","IC","1","","Initial conditions level, link","number","single","","EXPERIMENT","MANAGEMENT","INITIAL_CONDITIONS","INITIAL_CONDITION_LAYER","2052","0","",".","MI","","","","1","-2","0","","","","","","","","","","","","",""
"initial_soil_layer_top_depth","","ICTL","","ICTL","2","","Soil layer top depth","cm","single","","EXPERIMENT","MANAGEMENT","INITIAL_CONDITIONS","INITIAL_CONDITION_LAYER","2052","1","chp 2018-19-25",".",".","0","","","1","-1","0","","","","","","","","","","","","",""
"initial_soil_layer_base_depth","29","ICBL","4","ICBL","3","1","Soil layer base depth","cm","single","","EXPERIMENT","MANAGEMENT","INITIAL_CONDITIONS","INITIAL_CONDITION_LAYER","2052","1","chp 2018-19-25",".",".","0","","","1","","1","1","","","","","","","","","","","",""
"initial_watr_conc_by_lyr","24","ICH2O","5","ICH2O","4","","Initial water concentration by layer","unitless","single","","EXPERIMENT","MANAGEMENT","INITIAL_CONDITIONS","INITIAL_CONDITION_LAYER","2052","1","",".","SH2O","","","","1","","1","1","","","","","","","","","","","",""
"initial_NH4_concen_layer","24","ICNH4","5","ICNH4","5","","Initial NH4 conc., as elemental N on dry wt. basis, by layer","ppm","single","","EXPERIMENT","MANAGEMENT","INITIAL_CONDITIONS","INITIAL_CONDITION_LAYER","2052","1","",".",".","0","","","1","","0","","","","","","","","","","","","",""
"initial_NO3_concen_layer","24","ICNO3","5","ICNO3","6","","Initial NO3 conc., as elemental N on dry wt. basis, by layer","ppm","single","","EXPERIMENT","MANAGEMENT","INITIAL_CONDITIONS","INITIAL_CONDITION_LAYER","2052","1","",".",".","0","","","1","","0","","","","","","","","","","","","",""
"initial_NH4_mass_layer","22","ICNH4M","6","ICNH4M","6","","Initial NH4, as elemental N on dry wt. basis, by layer","kg[N]/ha","single","","EXPERIMENT","MANAGEMENT","INITIAL_CONDITIONS","INITIAL_CONDITION_LAYER","2052","1","2018-06-19 chp","","","","","","","","","","","","","","","","","","","","",""
"initial_NO3_mass_layer","22","ICNO3M","6","ICNO3M","6","","Initial NO3, as elemental N on dry wt. basis, by layer","kg[N]/ha","single","","EXPERIMENT","MANAGEMENT","INITIAL_CONDITIONS","INITIAL_CONDITION_LAYER","2052","1","2018-06-19 chp","","","","","","","","","","","","","","","","","","","","",""
"initial_Ntot_layer","18","ICN_TOT","7","ICN_TOT","7","","Initial inorganic N amount, by layer","kg[N]/ha","single","","EXPERIMENT","MANAGEMENT","INITIAL_CONDITIONS","INITIAL_CONDITION_LAYER","2052","1","",".",".","0","","","1","","0","","","","","","","","","","","","",""
"initial_soil_stable_C","21","ICSC","4","ICSC","11","","Stable organic carbon by layer, expressed as g[C]/100g[soil]","%","single","","EXPERIMENT","MANAGEMENT","INITIAL_CONDITIONS","INITIAL_CONDITION_LAYER","2052","1","",".",".","","","","1","","1","1","","","","","","","","","","","",""
"initial_soil_temperature","24","ICSLT","5","ICSLT","21","","Initial soil temperature","degree_C","single","","EXPERIMENT","MANAGEMENT","INITIAL_CONDITIONS","INITIAL_CONDITION_LAYER","2052","1","","","","","","","1","","","","","","","","","","","","","","",""
"mgmt_operations_event","21","MGMT_EVENT","10","MGMT_EVENT","0","","Management operations event type","code","text","","EXPERIMENT","MANAGEMENT","EVENT_SPECIFICATION","","2060","1","2020-05-05, CHP","","","","","","","","","","","","","","","","","","","","",""
"mgmt_event_date","15","EVDATE","6","EVDATE","1","","Management operations event date","date","single","","EXPERIMENT","MANAGEMENT","EVENT_SPECIFICATION","","2060","1","2020-05-05, CHP",".","","1","","","1","","2","2","","","","","","","","","","","",""
"mgmt_event_notes","16","EV_NOTES","8","EV_NOTES","1","","Management operations event notes","text","text","","EXPERIMENT","MANAGEMENT","EVENT_SPECIFICATION","","2060","","2020-05-05, CHP","","","","","","","","","","","","","","","","","","","","",""
"id","2","id","2","id","0","1","id","","single","","EXPERIMENT","MANAGEMENT","PLANTINGS","","2061","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"planting_date","13","PDATE","5","PDATE","1","","Planting or sowing date","date","single","","EXPERIMENT","MANAGEMENT","PLANTINGS","","2061","1","",".","PDAT","1","","","1","","2","2","","","","","","","","","","","",""
"transplant_date","13","TRDATE","5","TRDATE","1","","Transplant date","date","single","","EXPERIMENT","MANAGEMENT","PLANTINGS","","2061","1","2013-04-05 chp",".","","1","","","1","","2","2","","","","","","","","","","","",""
"planting_level","14","PL","2","PL","1","","Planting, level in treatment structure","number","single","","EXPERIMENT","MANAGEMENT","PLANTINGS","","2061","0","",".","MP","","","","1","-2","0","","","","","","","","","","","","",""
"planting_level_name","19","PL_NAME","7","PL_NAME","2","","Planting level, name of treatment","text","text","31","EXPERIMENT","MANAGEMENT","PLANTINGS","","2061","0","",".",".","","","","1","-2","0","","","","","","","","","","","","",""
"planting_year","13","PLYR","4","PLYR","3","","Planting year","year","single","","EXPERIMENT","MANAGEMENT","PLANTINGS","","2061","0","",".",".","","","","1","-2","0","","","","","","","","","","","","",""
"planting_day","12","PLDAY","5","PLDAY","4","","Day of planting","day","single","","EXPERIMENT","MANAGEMENT","PLANTINGS","","2061","0","",".",".","0","366","","1","-2","0","","","","","","","","","","","","",""
"emergence_year","14","PLYRE","5","PLYRE","5","","Year for date of emergence (growth stage)","number","single","","EXPERIMENT","MANAGEMENT","PLANTINGS","","2061","0","",".","","1","","","1","-2","0","","","","","","","","","","","","",""
"emergence_date","14","EDATE","5","EDATE","6","","Date of emergence","date","single","","EXPERIMENT","MANAGEMENT","PLANTINGS","","2061","1","",".","","","","","","","","","","","","","","","","","","","",""
"emergence_day","13","PLDOE","5","PLDOE","6","","Day of year for date of emergence","number","single","","EXPERIMENT","MANAGEMENT","PLANTINGS","","2061","0","",".","","1","","","1","-2","0","","","","","","","","","","","","",""
"plant_pop_at_planting","21","PLPOP","5","PLPOP","7","","Plant population at planting","number/m2","single","","EXPERIMENT","MANAGEMENT","PLANTINGS","","2061","1","",".","PPOP","0","","","1","","2","2","","","","","","","","","","","",""
"plant_pop_at_emergence","22","PLPOE","5","PLPOE","8","","Plant population at emergence","number/m2","single","","EXPERIMENT","MANAGEMENT","PLANTINGS","","2061","1","",".","PPOE","0","","","1","","1","1","","","","","","","","","","","",""
"planting_material","17","PLMA","4","PLMA","9","","Planting material","code","text","5","EXPERIMENT","MANAGEMENT","PLANTINGS","","2061","1","",".",".","","","","1","","0","","","","","","","","","","","","",""
"planting_distribution","21","PLDS","4","PLDS","10","","Planting distribution","code","text","5","EXPERIMENT","MANAGEMENT","PLANTINGS","","2061","1","",".",".","","","","1","","0","","","","","","","","","","","","",""
"row_spacing","11","PLRS","4","PLRS","11","","Row spacing","cm","single","","EXPERIMENT","MANAGEMENT","PLANTINGS","","2061","1","",".",".","0","","","1","","0","","","","","","","","","","","","",""
"plant_spacing","13","PLSP","4","PLSP","11","","Spacing of plants in a row","cm","single","","EXPERIMENT","MANAGEMENT","PLANTINGS","","2061","1","2018-10-30 chp",".",".","0","","","1","","0","","","","","","","","","","","","",""
"row_direction","13","PLRD","4","PLRD","12","","Row direction, degrees from N","arc_degrees","single","","EXPERIMENT","MANAGEMENT","PLANTINGS","","2061","1","",".",".","0","359","","1","-1","0","","","","","","","","","","","","",""
"plants_per_hill","15","PLPH","4","PLPH","13","","Plants per hill","number","single","","EXPERIMENT","MANAGEMENT","PLANTINGS","","2061","1","",".",".","","","","1","","0","","","","","","","","","","","","",""
"planting_depth","14","PLDP","4","PLDP","14","","Planting depth","mm","single","5","EXPERIMENT","MANAGEMENT","PLANTINGS","","2061","1","mm or cm !!!",".",".","","","","1","","0","","","","","","","","","","","","",""
"planting_material_weight","24","PLMWT","5","PLMWT","21","","Planting material weight","kg/ha","single","","EXPERIMENT","MANAGEMENT","PLANTINGS","","2061","1","","planting wt","PLWT","0","","","1","","0","","","","","","","","","","","","",""
"transplant_age","14","PAGE","4","PAGE","22","","Transplant age","day","single","","EXPERIMENT","MANAGEMENT","PLANTINGS","","2061","1","",".",".","0","366","","1","","0","","","","","","","","","","","","",""
"planting_material_age","21","PLAGE","5","PLAGE","23","","Planting material age (also used for dormancy adjustments)","day","single","","EXPERIMENT","MANAGEMENT","PLANTINGS","","2061","1","",".",".","0","366","","1","-1","0","","","","","","","","","","","","",""
"nursery_env_pl_material","23","PLENV","5","PLENV","24","","Transplant nursery environment (mean temperature)","degree_C","single","","EXPERIMENT","MANAGEMENT","PLANTINGS","","2061","1","",".",".","","","","1","-1","0","","","","","","","","","","","","",""
"length_sprout_material","22","PLSPL","5","PLSPL","26","","Planting material sprout length","cm","single","","EXPERIMENT","MANAGEMENT","PLANTINGS","","2061","1","",".",".","0","","","1","-1","0","","","","","","","","","","","","",""
"seedbed_density","15","NPLSB","5","NPLSB","26","","Planting density in nursery seed bed","number/m2","single","","EXPERIMENT","MANAGEMENT","PLANTINGS","","2061","1","2013-11/19, CHP",".",".","0","","","1","-1","0","","","","","","","","","","","","",""
"germination","11","PLG%","4","PLGPC","27","","Planting material germination","%","single","","EXPERIMENT","MANAGEMENT","PLANTINGS","","2061","1","",".",".","0","100","","1","-1","0","","","","","","","","","","","","",""
"planting_material_source","24","PLMSOURCE","9","PLMSOURCE","28","","Source of the planting material","text","text","31","EXPERIMENT","MANAGEMENT","PLANTINGS","","2061","1","",".",".","","","","1","-1","0","","","","","","","","","","","","",""
"fertile_tiller_num","18","PLFTN","5","PLFTN","28","","Fertile tiller number (sorghum)","number","single","31","EXPERIMENT","MANAGEMENT","PLANTINGS","","2061","1","2013-06-07, CHP",".",".","","","","1","","0","","","","","","","","","","","","",""
"id","","id","","id","0","1","id","","single","","EXPERIMENT","MANAGEMENT","IRRIGATIONS","","2071","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"irrigation_level","16","IR","2","IR","1","","Irrigation level in treatment structure","number","single","","EXPERIMENT","MANAGEMENT","IRRIGATIONS","","2071","0","",".",".","","","","1","-2","0","","","","","","","","","","","","",""
"irrigation_level_name","21","IR_NAME","7","IR_NAME","2","","Irrigation level name","text","text","31","EXPERIMENT","MANAGEMENT","IRRIGATIONS","","2071","0","",".",".","","","","1","-2","0","","","","","","","","","","","","",""
"irrigation_notes","16","IR_NOTES","8","IR_NOTES","3","","Irrigation, notes on irrigation application","text","text","40","EXPERIMENT","MANAGEMENT","IRRIGATIONS","","2071","0","","","","","","","1","-1","0","","","","","","","","","","","","",""
"irrig_applied","13","IRRIG","5","IRRIG","11","","Indicates whether or not the field was irrigated","code","text","1","EXPERIMENT","MANAGEMENT","IRRIGATIONS","","2071","1","",".","","","","","1","","0","","","","","","","","","","","","",""
"irrigation_season","17","IR_TOT","6","IR_TOT","21","","Irrigation, total amount over season","mm","single","","EXPERIMENT","MANAGEMENT","IRRIGATIONS","","2071","1","Use when detailed irrigation information is lacking","Irrig mm",".","0","","","1","","0","","","","","","","","","","","","",""
"irrigation_applics_season","25","IR_#","4","IR_no","22","","Irrigation applications, total number at end season","number","single","","EXPERIMENT","MANAGEMENT","IRRIGATIONS","","2071","0","Use when detailed irrigation information is lacking","Irrig apps #",".","","","","1","","0","","","","","","","","","","","","",""
"irrigation_date","15","IDATE","5","IDATE","-99","","Irrigation date","date","single","","EXPERIMENT","MANAGEMENT","IRRIGATIONS","IRRIGATION_APPLICATIONS","2072","1","",".",".","1","99,365","","1","","2","2","","","","","","","","","","","",""
"id","","id","","id","0","1","id","","single","","EXPERIMENT","MANAGEMENT","IRRIGATIONS","IRRIGATION_APPLICATIONS","2072","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"irrigation_level","16","IR","2","IR","1","","Irrigation level, links to IRRIGATIONS table","number","single","","EXPERIMENT","MANAGEMENT","IRRIGATIONS","IRRIGATION_APPLICATIONS","2072","0","",".",".","","","","1","-2","0","","","","","","","","","","","","",""
"irrigation_year","15","IRYR","4","IRYR","2","1","Irrigation or water management year","year","single","","EXPERIMENT","MANAGEMENT","IRRIGATIONS","IRRIGATION_APPLICATIONS","2072","0","",".","","","","","1","-2","0","","","","","","","","","","","","",""
"irrigation_day","14","IRDAY","5","IRDAY","3","1","Irrigation day","day","single","","EXPERIMENT","MANAGEMENT","IRRIGATIONS","IRRIGATION_APPLICATIONS","2072","0","",".",".","0","366","","1","-2","0","","","","","","","","","","","","",""
"irrigation_operation","20","IROP","4","IROP","4","","Irrigation operation (e.g., furrow, sprinkler, drip°≠)","code","text","5","EXPERIMENT","MANAGEMENT","IRRIGATIONS","IRRIGATION_APPLICATIONS","2072","1","",".",".","","","","1","","1","1","","","","","","","","","","","",""
"irrig_amount_depth","18","IRVAL","5","IRVAL","5","","Irrigation amount, depth of water","mm","single","","EXPERIMENT","MANAGEMENT","IRRIGATIONS","IRRIGATION_APPLICATIONS","2072","1","",".",".","0","","","1","","2","2","","","","","","","","","","","",""
"irrigation_applic_depth","23","IRADP","5","IRADP","6","","Irrigation application depth (e.g., for depth to drip line)","cm","single","","EXPERIMENT","MANAGEMENT","IRRIGATIONS","IRRIGATION_APPLICATIONS","2072","1","",".",".","0","","","1","","0","","","","","","","","","","","","",""
"irrigation_H2O_N_conc","21","IRN%","4","IRNPC","7","","Irrigation water nitrogen concentration","%","single","","EXPERIMENT","MANAGEMENT","IRRIGATIONS","IRRIGATION_APPLICATIONS","2072","1","",".",".","0","","","1","","0","","","","","","","","","","","","",""
"bund_height","11","ABUND","5","ABUND","8","","Bund height (e.g., for flooded rice)","mm","single","","EXPERIMENT","MANAGEMENT","IRRIGATIONS","IRRIGATION_APPLICATIONS","2072","1","","BUND HT mm",".","0","1,000","","1","","0","","","","","","","","","","","","",""
"irrigation_operation_name","25","IROP_NAME","9","IROP_NAME","9","","Name of irrigation operation or specific notes about this application","text","text","","EXPERIMENT","MANAGEMENT","IRRIGATIONS","IRRIGATION_APPLICATIONS","2072","0","",".",".","","","","1","","","","","","","","","","","","","","",""
"method_auto_applications","24","IAME","4","IAME","4","","Method for automatic applications","code","text","5","EXPERIMENT","MANAGEMENT","IRRIGATIONS","AUTOMATIC_IRRIG","2073","1","",".",".","","","","1","","0","","","","","","","","","","","","",""
"auto_irrig_amnt_applied","23","IAMT","4","IAMT","5","","Irrigation amount, automatic application","mm","single","","EXPERIMENT","MANAGEMENT","IRRIGATIONS","AUTOMATIC_IRRIG","2073","1","",".",".","0","","","1","","0","","","","","","","","","","","","",""
"irrigation_efficiency","21","IREFF","5","IREFF","6","","Irrigation application efficiency as fraction (0 to 1)","unitless","single","","EXPERIMENT","MANAGEMENT","IRRIGATIONS","AUTOMATIC_IRRIG","2073","1","",".","IEFF","0","1","","1","","0","","","","","","","","","","","","",""
"auto_irrig_growth_stg","21","IRSTG","5","IRSTG","7","","Irrigation, growth stage, automatic appn","code","text","5","EXPERIMENT","MANAGEMENT","IRRIGATIONS","AUTOMATIC_IRRIG","2073","1","",".",".","","","","1","","0","","","","","","","","","","","","",""
"auto_irrig_manag_depth","22","IRMDP","5","IRMDP","8","","Irrigation management, reference soil depth for automatic application","cm","single","","EXPERIMENT","MANAGEMENT","IRRIGATIONS","AUTOMATIC_IRRIG","2073","1","",".","IDEP","0","","","1","","0","","","","","","","","","","","","",""
"autoirrig_threshold_H2O","23","IRTHR","5","IRTHR","9","","Irrigation threshold water content for automatic application","%","single","","EXPERIMENT","MANAGEMENT","IRRIGATIONS","AUTOMATIC_IRRIG","2073","1","",".",".","0","100","","1","","0","","","","","","","","","","","","",""
"autoirrigation_end_H2O","22","IREPT","5","IREPT","10","","Irrigation, ending % avail, automatic application","%","single","","EXPERIMENT","MANAGEMENT","IRRIGATIONS","AUTOMATIC_IRRIG","2073","1","",".","IEPT","0","100","","1","","0","","","","","","","","","","","","",""
"auto_irrig_date","","IADATE","","IADATE","","","Date to begin automatic irrigation","date","date","","EXPERIMENT","MANAGEMENT","IRRIGATIONS","AUTOMATIC_IRRIG","2073","1","","","","","","","1","","0","","","","","","","","","","","","",""
"id","","id","","id","0","1","id","","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","","2081","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"fertilizer_level","16","FE","2","FE","1","","Fertilizer level in treatment structure","number","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","","2081","0","",".","MF","","","","1","-2","0","","","","","","","","","","","","",""
"fertilizer_level_name","21","FE_NAME","7","FE_NAME","2","","Fertilizer level name","text","text","31","EXPERIMENT","MANAGEMENT","FERTILIZERS","","2081","0","",".",".","","","","1","-2","0","","","","","","","","","","","","",""
"fertilizer_notes","16","FE_NOTES","8","FE_NOTES","3","","Fertilizer, comments or explanations of a given treatment","text","memo","","EXPERIMENT","MANAGEMENT","FERTILIZERS","","2081","0","","","","","","","1","","0","","","","","","","","","","","","",""
"fert_applied","","FERTILIZER","","FERTILIZER","4","","Indicates whether or not fertilizer was applied (Y or N)","code","text","1","EXPERIMENT","MANAGEMENT","FERTILIZERS","","2081","1","Use when detailed fertilizer information is lacking","","","","","","1","","0","","","","","","","","","","","","",""
"fertilizer_season","","FE_TOT","","FE_TOT","21","","Fertilizer, total amount over season","kg[fertilizer]/ha","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","","2081","1","2020-05-06, CHP","","","","","","1","","0","","","","","","","","","","","","",""
"fertilizer_material_season","","FE_CD","","FE_CD","","","Fertilizer material code (if only one type used per season)","code","text","","EXPERIMENT","MANAGEMENT","FERTILIZERS","","2081","","2020-05-06, CHP","","","","","","","","","","","","","","","","","","","","",""
"nitrogen_season","","FEN_TOT","","FEN_TOT","21","","Nitrogen, total amount over season, as elemental N","kg[N]/ha","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","","2081","1","Use when detailed fertilizer information is lacking","","","","","","1","","0","","","","","","","","","","","","",""
"phosphorus_season","","FEP_TOT","","FEP_TOT","23","","Phosphorus, total amount over season, as elemental P","kg[P]/ha","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","","2081","1","Use when detailed fertilizer information is lacking","","","","","","1","-1","0","","","","","","","","","","","","",""
"potassium_season","","FEK_TOT","","FEK_TOT","25","","Potassium, total amount over season, as elemental K","kg[K]/ha","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","","2081","1","Use when detailed fertilizer information is lacking","","","","","","1","-1","0","","","","","","","","","","","","",""
"sulfur_season","13","FES_TOT","7","FES_TOT","25","","Sulfur, total amount over season, as elemental S","kg[S]/ha","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","","2081","1","2020-05-05, CHP","","","","","","1","-1","0","","","","","","","","","","","","",""
"calcium_season","14","FEC_TOT","7","FECA_TOT","25","","Calcium, total amount over season, as elemental Ca","kg[Ca]/ha","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","","2081","1","2020-05-05, CHP","","","","","","1","-1","0","","","","","","","","","","","","",""
"magnesium_season","16","FEMG_TOT","8","FEMG_TOT","25","","Magnesium, total amount over season, as elemental Mg","kg[Mg]/ha","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","","2081","1","2020-05-05, CHP","","","","","","1","-1","0","","","","","","","","","","","","",""
"boron_season","12","FEB_TOT","7","FEB_TOT","25","","Boron, total amount over season, as elemental B","kg[B]/ha","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","","2081","1","2020-05-05, CHP","","","","","","1","-1","0","","","","","","","","","","","","",""
"zinc_season","11","FEZN_TOT","8","FEZN_TOT","25","","Zinc, total amount over season, as elemental Zn","kg[Zn]/ha","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","","2081","1","2020-05-05, CHP","","","","","","1","-1","0","","","","","","","","","","","","",""
"manganese_season","16","FEMN_TOT","8","FEMN_TOT","25","","Manganese, total amount over season, as elemental Mg","kg[Mn]/ha","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","","2081","1","2020-05-05, CHP","","","","","","1","-1","0","","","","","","","","","","","","",""
"iron_season","11","FEFE_TOT","8","FEFE_TOT","25","","Iron, total amount over season, as elemental Fe","kg[Fe]/ha","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","","2081","1","2020-05-05, CHP","","","","","","1","-1","0","","","","","","","","","","","","",""
"fertilizer_other_season","","FEO_TOT","","FEO_TOT","","","Other elements in applied fertilizer, total amount over season","kg[Element]/ha","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","","2081","1","2020-05-05, CHP","","","","","","1","-1","0","","","","","","","","","","","","",""
"fertiliz_code_other_elem","24","FEOCD_TOT","9","FEOCD_TOT","14","","Fertilizer code for other elements","code","text","5","EXPERIMENT","MANAGEMENT","FERTILIZERS","","2081","1","2020-05-05, CHP",".",".","","","","1","-1","0","","","","","","","","","","","","",""
"fert_#_tot","","FE_#","","FE_no","10","","Total number of fertilizer applications over season","number","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","","2081","1","Use when detailed fertilizer information is lacking","","","","","","1","-1","0","","","","","","","","","","","","",""
"nitrogen_applics_season","","FEN_#","","FEN_no","22","","Nitrogen applications, total number at end season","number","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","","2081","0","Use when detailed fertilizer information is lacking","","","","","","1","","0","","","","","","","","","","","","",""
"phosphorus_applics_season","","FEP_#","","FEP_no","24","","Phosphorus applications, total number at end season","number","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","","2081","1","Use when detailed fertilizer information is lacking","","","","","","1","-1","0","","","","","","","","","","","","",""
"potassium_applics_season","","FEK_#","","FEK_no","26","","Potassium applications, total number at end season","number","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","","2081","1","Use when detailed fertilizer information is lacking","","","","","","1","-1","0","","","","","","","","","","","","",""
"id","","id","","id","0","1","id","","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","FERTILIZER_APPLICS","2082","0","","","","","","","1","-2","0","","","","","","","","","","","","",""
"fertilizer_level","16","FE","2","FE","1","","Fertilizer level in treatment structure","number","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","FERTILIZER_APPLICS","2082","0","",".","MF","","","","1","-2","0","","","","","","","","","","","","",""
"fertilization_date","18","FEDATE","5","FEDATE","-99","","Fertilization date","date","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","FERTILIZER_APPLICS","2082","1","",".",".","1","99,365","","1","","2","2","","","","","","","","","","","",""
"fertilizer_applic_year","22","FEYR","4","FEYR","2","1","Fertilizer application year","year","single","","EXPERIMENT","MANAGEMENT","FERTILIZERS","FERTILIZER_APPLICS","2082","0","",".",".","","","","1","-2","0","","","","","","","","","","","","",""
